state,classification,tier,primary_law,law_details,effective_date,doj_designated_sanctuary,source_url,source_name,ilrc_rating,ilrc_source
Georgia,aggressive_anti_sanctuary,most_restrictive,HB 87 (2011) + SB 452 (2024),Bans sanctuary policies; requires 287(g) participation; mandates E-Verify; punishes local governments refusing ICE cooperation,2011-07-01,False,https://www.legis.ga.gov/legislation/20039,Georgia General Assembly,aggressive_anti_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
Iowa,aggressive_anti_sanctuary,most_restrictive,SF 481 (2018) + SF 2340 (2024),Bans sanctuary policies; requires detainer compliance; 2024 law creates state deportation mechanism and crimes for being undocumented,2018-04-10,False,https://www.legis.iowa.gov/legislation/BillBook?ga=87&ba=SF481,Iowa Legislature,aggressive_anti_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
West Virginia,aggressive_anti_sanctuary,most_restrictive,SB 156 (2024),Comprehensive anti-sanctuary law; forces local agencies to participate in deportation,2024-03-01,False,https://www.wvlegislature.gov/Bill_Status/bills_history.cfm?input=156&year=2024&sessiontype=RS,WV Legislature,aggressive_anti_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
Alabama,anti_sanctuary,broad_negative,HB 56 (2011),Bans sanctuary cities; fines levied directly against officials; criminal charges possible for failing to report violations,2011-09-28,False,http://alisondb.legislature.state.al.us/ALISON/SearchableInstruments/2011RS/PrintFiles/HB56-enr.pdf,Alabama Legislature,broad_anti_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
Tennessee,anti_sanctuary,broad_negative,HB 2315 (2018) + SB 6002 (2025),Requires compliance with ICE detainers; 2025 law creates Class E felony for officials adopting sanctuary policies (1-6 years prison),2018-05-21,False,https://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=HB2315,Tennessee General Assembly,broad_anti_sanctuary,https://www.ilrc.org/state-map-immigration-enforcement-2024
Arizona,anti_sanctuary,mandates_participation,SB 1070 (2010) (partially enjoined) + subsequent laws,Requires law enforcement to check immigration status during stops; mandates ICE cooperation,2010-04-23,False,https://www.azleg.gov/legtext/49leg/2r/bills/sb1070s.pdf,Arizona Legislature,mandates_participation,https://www.ilrc.org/state-map-immigration-enforcement-2024
Louisiana,anti_sanctuary,mandates_participation,Governor Executive Order (2025),"Requires State Police, Corrections, Wildlife, Fire Marshal, National Guard to join 287(g) program",2025-05-01,False,https://gov.louisiana.gov/index.cfm/newsroom/detail/4521,Louisiana Governor's Office,mandates_participation,https://www.ilrc.org/state-map-immigration-enforcement-2024
Indiana,anti_sanctuary,mandates_participation,IC 5-2-18.2 (2011),Bans sanctuary cities since 2011; prohibits limiting involvement in immigration enforcement to less than full extent permitted,2011-07-01,False,https://iga.in.gov/laws/2023/ic/titles/5#5-2-18.2,Indiana General Assembly,mandates_participation,https://www.ilrc.org/state-map-immigration-enforcement-2024
Mississippi,anti_sanctuary,mandates_participation,SB 2710 (2017),"Bars sanctuary policies; blocks counties, cities, colleges from creating sanctuary policies; requires immigration status cooperation",2017-07-01,False,http://billstatus.ls.state.ms.us/2017/pdf/history/SB/SB2710.xml,Mississippi Legislature,mandates_participation,https://www.ilrc.org/state-map-immigration-enforcement-2024
North Carolina,anti_sanctuary,mandates_participation,HB 318 (2015) + SB 145 (2018),Bans sanctuary cities; strips state revenues from sanctuary jurisdictions,2015-10-28,False,https://www.ncleg.gov/BillLookUp/2015/h318,NC General Assembly,mandates_participation,https://www.ilrc.org/state-map-immigration-enforcement-2024
Arkansas,anti_sanctuary,mandates_participation,SB 411 (2019),Prohibits municipalities from adopting sanctuary policies,2019-03-22,False,https://www.arkleg.state.ar.us/Bills/Detail?id=SB411&ddBienniumSession=2019%2F2019R,Arkansas Legislature,mandates_participation,https://www.ilrc.org/state-map-immigration-enforcement-2024
Oklahoma,anti_sanctuary,mandates_participation,HB 4156 (2024),Creates state deportation mechanism; mandates ICE cooperation,2024-11-01,False,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24%20ENR/hB/HB4156%20ENR.PDF,Oklahoma Legislature,mandates_participation,https://www.ilrc.org/state-map-immigration-enforcement-2024
South Carolina,anti_sanctuary,mandates_participation,Act 69 (2011),Requires verification of immigration status; prohibits sanctuary policies,2012-01-01,False,https://www.scstatehouse.gov/sess119_2011-2012/bills/69.htm,SC General Assembly,mandates_participation,https://www.ilrc.org/state-map-immigration-enforcement-2024
Massachusetts,neutral,no_statewide_policy,"No statewide law; various local sanctuary policies (Boston, Cambridge, etc.)",No statewide sanctuary or anti-sanctuary law; local policies vary significantly,,False,https://www.ilrc.org/state-map-immigration-enforcement-2024,ILRC State Map,neutral,https://www.ilrc.org/state-map-immigration-enforcement-2024
Pennsylvania,neutral,no_statewide_policy,No statewide law; Philadelphia has sanctuary policy,No statewide mandate; major cities have varying policies,,False,https://www.ilrc.org/state-map-immigration-enforcement-2024,ILRC State Map,neutral,https://www.ilrc.org/state-map-immigration-enforcement-2024
Virginia,neutral,no_statewide_policy,No statewide law; Governor vetoed anti-sanctuary bills,Gov. Northam vetoed SB 1156 (2019) and HB 1257 (2018); no mandate either direction,,False,https://ballotpedia.org/Sanctuary_jurisdiction_policies_by_state,Ballotpedia,neutral,https://www.ilrc.org/state-map-immigration-enforcement-2024
Nevada,neutral,no_statewide_policy,No statewide law,No statewide sanctuary or anti-sanctuary policy,,False,https://www.ilrc.org/state-map-immigration-enforcement-2024,ILRC State Map,neutral,https://www.ilrc.org/state-map-immigration-enforcement-2024
Ohio,neutral,no_statewide_policy,No statewide law,No statewide sanctuary or anti-sanctuary policy,,False,https://www.ilrc.org/state-map-immigration-enforcement-2024,ILRC State Map,neutral,https://www.ilrc.org/state-map-immigration-enforcement-2024
Michigan,neutral,no_statewide_policy,No statewide law,No statewide sanctuary or anti-sanctuary policy,,False,https://www.ilrc.org/state-map-immigration-enforcement-2024,ILRC State Map,neutral,https://www.ilrc.org/state-map-immigration-enforcement-2024
